ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2015,"2015","04000US48","Texas",7012,1534.9726381926162,"San Antonio, TX","16000US4865000","san-antonio-tx"
1,"Construction (Group)",2,"Construction",2015,"2015","04000US48","Texas",53728,4489.5469704637235,"San Antonio, TX","16000US4865000","san-antonio-tx"
2,"Manufacturing (Group)",3,"Manufacturing",2015,"2015","04000US48","Texas",39922,3835.9651979651744,"San Antonio, TX","16000US4865000","san-antonio-tx"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2015,"2015","04000US48","Texas",18173,2342.9351250088,"San Antonio, TX","16000US4865000","san-antonio-tx"
4,"Retail Trade (Group)",5,"Retail Trade",2015,"2015","04000US48","Texas",81259,5497.061487740518,"San Antonio, TX","16000US4865000","san-antonio-tx"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2015,"2015","04000US48","Texas",25385,2867.9459548603772,"San Antonio, TX","16000US4865000","san-antonio-tx"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2015,"2015","04000US48","Texas",4495,1448.752911990171,"San Antonio, TX","16000US4865000","san-antonio-tx"
6,"Information (Group)",8,"Information",2015,"2015","04000US48","Texas",12325,2238.728657073027,"San Antonio, TX","16000US4865000","san-antonio-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2015,"2015","04000US48","Texas",44945,3645.194096341099,"San Antonio, TX","16000US4865000","san-antonio-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2015,"2015","04000US48","Texas",11866,2068.994925078358,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2015,"2015","04000US48","Texas",39812,3308.963130649842,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2015,"2015","04000US48","Texas",451,279.93213463266414,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2015,"2015","04000US48","Texas",35957,3254.6546667811012,"San Antonio, TX","16000US4865000","san-antonio-tx"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2015,"2015","04000US48","Texas",59458,4131.458096120546,"San Antonio, TX","16000US4865000","san-antonio-tx"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2015,"2015","04000US48","Texas",89206,5888.060631481303,"San Antonio, TX","16000US4865000","san-antonio-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2015,"2015","04000US48","Texas",10617,1844.273569728743,"San Antonio, TX","16000US4865000","san-antonio-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2015,"2015","04000US48","Texas",70956,5435.167798697663,"San Antonio, TX","16000US4865000","san-antonio-tx"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2015,"2015","04000US48","Texas",33957,3815.1258170602973,"San Antonio, TX","16000US4865000","san-antonio-tx"
12,"Public Administration (Group)",19,"Public Administration",2015,"2015","04000US48","Texas",29817,3340.9108039575076,"San Antonio, TX","16000US4865000","san-antonio-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2014,"2014","04000US48","Texas",822,420.8336963694804,"San Antonio, TX","16000US4865000","san-antonio-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2014,"2014","04000US48","Texas",7867,1970.1761342580514,"San Antonio, TX","16000US4865000","san-antonio-tx"
1,"Construction (Group)",2,"Construction",2014,"2014","04000US48","Texas",57670,4297.337431480101,"San Antonio, TX","16000US4865000","san-antonio-tx"
2,"Manufacturing (Group)",3,"Manufacturing",2014,"2014","04000US48","Texas",31884,3018.7600103353693,"San Antonio, TX","16000US4865000","san-antonio-tx"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2014,"2014","04000US48","Texas",14308,2370.048522710031,"San Antonio, TX","16000US4865000","san-antonio-tx"
4,"Retail Trade (Group)",5,"Retail Trade",2014,"2014","04000US48","Texas",76748,5034.322695259016,"San Antonio, TX","16000US4865000","san-antonio-tx"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2014,"2014","04000US48","Texas",23353,3039.496010854431,"San Antonio, TX","16000US4865000","san-antonio-tx"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2014,"2014","04000US48","Texas",5716,1458.5941861943643,"San Antonio, TX","16000US4865000","san-antonio-tx"
6,"Information (Group)",8,"Information",2014,"2014","04000US48","Texas",12786,1948.698283470276,"San Antonio, TX","16000US4865000","san-antonio-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2014,"2014","04000US48","Texas",44899,3834.4304661839938,"San Antonio, TX","16000US4865000","san-antonio-tx"
